,Type,Include,ID,Group,Statement,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,NOTE,Nominal,prompt,values,QUD_rationale,similarity_rationale,contrast_rationale,non_explanation_rationale,subject_predicate,subject_predicate_rationale
0,Nonliterary,1,119,0,An idea is a kettle on the stove.,It takes time for an idea to be ready.,It takes water for an idea to be ready.,An idea is a thought.,An idea is ready instantly.,4.27,4.93,2.9,3.8,3.17,3.1,3.87,2.86,3.2,1.5,,1,"""An idea is a kettle on the stove.""

a) It takes time for an idea to be ready.
b) It takes water for an idea to be ready.
c) An idea is ready instantly.
d) An idea is a thought.
",[4 3 1 2],"The speaker is addressing the question ""How long does it take for an idea to be ready?""
The speaker answers this question by comparing an idea to a kettle on the stove.
A kettle on the stove takes a long time to be ready, so the speaker is saying a) It takes time for an idea to be ready.","Kettles on the stove take a long time to be ready.
Ideas can also take a long time to be ready, so the speaker is saying a) It takes time for an idea to be ready.","An kettle on the stove takes time to be ready.
In contrast, an idea does not go through a physical process of preparation.
This contrast projects the property of taking time to be ready to an idea, so the speaker is saying a) It takes time for an idea to be ready.","People can have ideas at unexpected times.
The speaker is saying a) It takes time for an idea to be ready.","The speaker is talking about an idea.
The speaker is using ""a kettle on the stove"" metaphorically.
The speaker is saying a) It takes time for an idea to be ready.","The speaker is talking about an idea.
The speaker is using ""a kettle on the stove"" metaphorically.
The speaker is saying a) It takes time for an idea to be ready."
1,Nonliterary,1,111,0,Happiness is gold.,Happiness is valuable.,Happiness is shiny.,Happiness is an emotion.,Happiness is irrelevant.,6.5,6.3,3.47,4.83,3.93,5.1,4.37,5.03,4.37,2.15,,1,"""Happiness is gold.""

a) Happiness is an emotion.
b) Happiness is irrelevant.
c) Happiness is shiny.
d) Happiness is valuable.
",[2 1 3 4],"The speaker is addressing the question ""How valuable is happiness?""
The speaker answers this question by comparing happiness to gold.
Gold is very valuable, so the speaker is saying d) Happiness is valuable.","Gold is valuable.
Happiness can also be valuable, so the speaker is saying d) Happiness is valuable.","Gold is valuable.
In contrast, happiness is intangible and it is unclear how to assess its value.
This contrast projects the property of being valuable to happiness, so the speaker is saying d) Happiness is valuable.","Smiling is a common way to express happiness.
The speaker is saying d) Happiness is valuable.","The speaker is talking about happiness.
The speaker is using ""gold"" metaphorically.
The speaker is saying d) Happiness is valuable.","The speaker is talking about happiness.
The speaker is using ""gold"" metaphorically.
The speaker is saying d) Happiness is valuable."
2,Nonliterary,1,133,0,A lottery is a rich uncle.,A lottery is wealth that seems accessible but may not be.,A lottery is wealth that is easily accessible.,A lottery is a gambling game.,A lottery is wealth that seems hard to get but is actually easy.,3.96,4.93,3.07,3.5,3.03,3.62,3.73,2.71,2.6,1.16,,1,"""A lottery is a rich uncle.""

a) A lottery is wealth that seems hard to get but is actually easy.
b) A lottery is wealth that seems accessible but may not be.
c) A lottery is a gambling game.
d) A lottery is wealth that is easily accessible.
",[1 4 2 3],"The speaker is addressing the question ""How accessible is wealth from a lottery?""
The speaker answers this question by comparing wealth to a rich uncle.
A rich uncle might provide easily accessible wealth, but also might not, so the speaker is saying b) A lottery is wealth that seems accessible but may not be.","A rich uncle provides wealth that seems accessible, but may not actually be.
A lottery promises to provide wealth, but winning is very unlikely, so the speaker is saying b) A lottery is wealth that seems accessible but may not be.",???,???,???,???
3,Nonliterary,1,9,0,A storm is a coffeepot.,A storm is dark.,A storm is hot.,A storm is a disturbed state of the environment.,A storm is clear.,3.44,4.0,2.19,2.8,3.03,2.28,3.35,2.1,2.37,1.69,,1,"""A storm is a coffeepot.""

a) A storm is dark.
b) A storm is a disturbed state of the environment.
c) A storm is clear.
d) A storm is hot.
",[4 2 1 3],"The speaker is addressing the question ""How dark is a storm?""
The speaker answers this question by comparing a storm to a coffeepot.
A coffeepot is very dark, so the speaker is saying a) A storm is dark.","A coffeepot is dark.
Storms can also be dark, so the speaker is saying a) A storm is dark.",???,???,???,???
4,Nonliterary,1,210,25,The wind is an arrow.,The wind goes straight and fast.,The wind is painful.,The wind is air that blows.,The wind goes in circles.,4.83,4.97,2.43,3.2,3.53,3.8,3.43,2.53,2.9,1.55,,1,"""The wind is an arrow.""

a) The wind is painful.
b) The wind is air that blows.
c) The wind goes straight and fast.
d) The wind goes in circles.
",[3 2 4 1],"The speaker is addressing the question ""How does the wind travel?""
The speaker answers this question by comparing the wind to an arrow.
An arrow travels straight and fast, so the speaker is saying c) The wind goes straight and fast.","An arrow travels straight and fast.
The wind can also travel straight and fast, so the speaker is saying c) The wind goes straight and fast.",???,???,???,???
5,Literary,1,137,1,Time is a transforming chisel.,Things change over time.,Time is strong.,Time is continued progress of existence.,Nothing changes over time.,5.23,5.5,3.53,4.0,4.43,3.37,4.0,4.83,3.77,2.07,,1,"""Time is a transforming chisel.""

a) Time is strong.
b) Time is continued progress of existence.
c) Things change over time.
d) Nothing changes over time.
",[3 2 4 1],"The speaker is addressing the question ""How does time affect things?""
The speaker answers this question by comparing time to a transforming chisel.
A transforming chisel changes things, so the speaker is saying c) Things change over time.","A transforming chisel changes things when used.
Time can also cause things to change, so the speaker is saying a) Things change over time.","A transforming chisel physically changes things.
In contrast, time is not an agent or tool that can directly change things.
This contrast projects the property of changing things to time, so the speaker is saying c) Things change over time.","Time can be measured in minutes.
The answer is c) Things change over time.","The speaker is talking about time.
The speaker is using ""a transforming chisel"" metaphorically.
The speaker is saying c) Things change over time.","The speaker is talking about time.
The speaker is using ""a transforming chisel"" metaphorically.
The speaker is saying c) Things change over time."
6,Nonliterary,1,58,14,Criticism is a branding iron.,Criticism is painful.,Criticism is hot.,Criticism is a kind of feedback.,Criticism is fun to hear.,4.9,5.28,3.2,4.03,4.07,3.8,4.33,3.57,3.69,1.79,,1,"""Criticism is a branding iron.""

a) Criticism is painful.
b) Criticism is a kind of feedback.
c) Criticism is hot.
d) Criticism is fun to hear.
",[4 2 3 1],"The speaker is addressing the question ""How does criticism feel?""
The speaker answers this question by comparing criticism to a branding iron.
A branding iron is very painful, so the speaker is saying a) Criticism is painful.","Branding irons are extremely painful.
Criticism can also be painful, so the speaker is saying b) Criticism is painful.","A branding iron is hot and physically painful.
In contrast, criticism cannot create physical pain.
This contrast projects the property of being painful to criticism, so the speaker is saying a) Criticism is painful.","People give criticism to point out flaws.
The speaker is saying a) Criticism is painful.","The speaker is talking about criticism.
The speaker is using ""a branding iron"" metaphorically.
The speaker is saying a) Criticism is painful.","The speaker is talking about criticism.
The speaker is using ""a branding iron"" metaphorically.
The speaker is saying a) Criticism is painful."
7,Nonliterary,1,1,0,An ant is a bulldozer.,An ant can move a lot of dirt.,An ant is big.,An ant is an insect.,An ant is not very effective.,4.88,4.46,2.27,3.6,3.31,3.83,4.15,3.86,2.81,2.08,,1,"""An ant is a bulldozer.""

a) An ant is big.
b) An ant can move a lot of dirt.
c) An ant is not very effective.
d) An ant is an insect.
",[3 4 1 2],"The speaker is addressing the question ""How much dirt can an ant move?""
The speaker answers this question by comparing an ant to a bulldozer.
A bulldozer can move a lot of dirt, so the speaker is saying b) An ant can move a lot of dirt.","A bulldozer moves a lot of dirt.
Ants can also move dirt, so the speaker is saying d) An ant can move a lot of dirt.",???,???,???,???
8,Literary,1,10,4,The wind is a wrestler.,The wind is strong and agile.,The wind is competing.,The wind is the natural movement of air.,The wind is soft and clumsy.,5.5,5.37,3.57,4.4,5.0,4.43,4.63,4.47,3.43,2.07,,1,"""The wind is a wrestler.""

a) The wind is competing.
b) The wind is the natural movement of air.
c) The wind is soft and clumsy.
d) The wind is strong and agile.
",[3 2 1 4],"The speaker is addressing the question ""How strong and agile is the wind?""
The speaker answers this question by comparing the wind to a wrestler.
A wrestler is strong and agile, so the speaker is saying d) The wind is strong and agile.","A wrestler is strong and agile.
The wind can also be strong and agile, so the speaker is saying a) The wind is strong an agile.",???,???,???,???
9,Nonliterary,1,198,27,Time is a physician.,Many ailments like sickness and broken bones heal with time.,Many ailments like sickness and broken bones bring joy with time.,Time is a dimension.,Many ailments like sickness and broken bones get worse with time.,3.67,4.27,2.07,2.67,2.13,2.97,2.37,3.07,2.93,1.48,,1,"""Time is a physician.""

a) Many ailments like sickness and broken bones heal with time.
b) Many ailments like sickness and broken bones get worse with time.
c) Many ailments like sickness and broken bones bring joy with time.
d) Time is a dimension.
",[4 1 3 2],"The speaker is addressing the question ""How does time affect sickness and injuries?""
The speaker answers this question by comparing time to a physician.
A physician heals wounds and illnesses, so the speaker is saying a) Many ailments like sickness and broken bones heal with time.","Physicians heal ailments.
Ailments like sickness and broken bones often heal over time, so the speaker is saying a) Many ailments like sickness and broken bones heal over time.","A physician heals many ailments like sickness and broken bones.
In contrast, time is not a person and cannot literally treat ailments.
This contrast projects the property of healing ailments to time, so the speaker is saying a) Many ailments like sickness and broken bones heal with time.","Clocks keep track of the time.
The speaker is saying a) Many ailments like sickness and broken bones heal with time.","The speaker is talking about time.
The speaker is using ""a physician"" metaphorically.
The speaker is saying a) Many ailments like sickness and broken bones heal with time.","The speaker is talking about time.
The speaker is using ""a physician"" metaphorically.
The speaker is saying a) Many ailments like sickness and broken bones heal with time."
