Type,Include,ID,Group,Statement,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,NOTE,Nominal,prompt,values
Nonliterary,1,119,0,An idea is a kettle on the stove.,It takes time for an idea to be ready.,It takes water for an idea to be ready.,An idea is a thought.,An idea is ready instantly.,4.27,4.93,2.9,3.8,3.17,3.1,3.87,2.86,3.2,1.5,,1,"""An idea is a kettle on the stove.""

a) It takes time for an idea to be ready.
b) It takes water for an idea to be ready.
c) An idea is ready instantly.
d) An idea is a thought.
",[4 3 1 2]
Nonliterary,1,111,0,Happiness is gold.,Happiness is valuable.,Happiness is shiny.,Happiness is an emotion.,Happiness is irrelevant.,6.5,6.3,3.47,4.83,3.93,5.1,4.37,5.03,4.37,2.15,,1,"""Happiness is gold.""

a) Happiness is an emotion.
b) Happiness is irrelevant.
c) Happiness is shiny.
d) Happiness is valuable.
",[2 1 3 4]
Nonliterary,1,133,0,A lottery is a rich uncle.,A lottery is wealth that seems accessible but may not be.,A lottery is wealth that is easily accessible.,A lottery is a gambling game.,A lottery is wealth that seems hard to get but is actually easy.,3.96,4.93,3.07,3.5,3.03,3.62,3.73,2.71,2.6,1.16,,1,"""A lottery is a rich uncle.""

a) A lottery is wealth that seems hard to get but is actually easy.
b) A lottery is wealth that seems accessible but may not be.
c) A lottery is a gambling game.
d) A lottery is wealth that is easily accessible.
",[1 4 2 3]
Nonliterary,1,9,0,A storm is a coffeepot.,A storm is dark.,A storm is hot.,A storm is a disturbed state of the environment.,A storm is clear.,3.44,4.0,2.19,2.8,3.03,2.28,3.35,2.1,2.37,1.69,,1,"""A storm is a coffeepot.""

a) A storm is dark.
b) A storm is a disturbed state of the environment.
c) A storm is clear.
d) A storm is hot.
",[4 2 1 3]
Nonliterary,1,210,25,The wind is an arrow.,The wind goes straight and fast.,The wind is painful.,The wind is air that blows.,The wind goes in circles.,4.83,4.97,2.43,3.2,3.53,3.8,3.43,2.53,2.9,1.55,,1,"""The wind is an arrow.""

a) The wind is painful.
b) The wind is air that blows.
c) The wind goes straight and fast.
d) The wind goes in circles.
",[3 2 4 1]
Literary,1,137,1,Time is a transforming chisel.,Things change over time.,Time is strong.,Time is continued progress of existence.,Nothing changes over time.,5.23,5.5,3.53,4.0,4.43,3.37,4.0,4.83,3.77,2.07,,1,"""Time is a transforming chisel.""

a) Time is strong.
b) Time is continued progress of existence.
c) Things change over time.
d) Nothing changes over time.
",[3 2 4 1]
Nonliterary,1,58,14,Criticism is a branding iron.,Criticism is painful.,Criticism is hot.,Criticism is a kind of feedback.,Criticism is fun to hear.,4.9,5.28,3.2,4.03,4.07,3.8,4.33,3.57,3.69,1.79,,1,"""Criticism is a branding iron.""

a) Criticism is painful.
b) Criticism is a kind of feedback.
c) Criticism is hot.
d) Criticism is fun to hear.
",[4 2 3 1]
Nonliterary,1,1,0,An ant is a bulldozer.,An ant can move a lot of dirt.,An ant is big.,An ant is an insect.,An ant is not very effective.,4.88,4.46,2.27,3.6,3.31,3.83,4.15,3.86,2.81,2.08,,1,"""An ant is a bulldozer.""

a) An ant is big.
b) An ant can move a lot of dirt.
c) An ant is not very effective.
d) An ant is an insect.
",[3 4 1 2]
Literary,1,10,4,The wind is a wrestler.,The wind is strong and agile.,The wind is competing.,The wind is the natural movement of air.,The wind is soft and clumsy.,5.5,5.37,3.57,4.4,5.0,4.43,4.63,4.47,3.43,2.07,,1,"""The wind is a wrestler.""

a) The wind is competing.
b) The wind is the natural movement of air.
c) The wind is soft and clumsy.
d) The wind is strong and agile.
",[3 2 1 4]
Nonliterary,1,198,27,Time is a physician.,Many ailments like sickness and broken bones heal with time.,Many ailments like sickness and broken bones bring joy with time.,Time is a dimension.,Many ailments like sickness and broken bones get worse with time.,3.67,4.27,2.07,2.67,2.13,2.97,2.37,3.07,2.93,1.48,,1,"""Time is a physician.""

a) Many ailments like sickness and broken bones heal with time.
b) Many ailments like sickness and broken bones get worse with time.
c) Many ailments like sickness and broken bones bring joy with time.
d) Time is a dimension.
",[4 1 3 2]
